答案
1.	10
2.	59
3.	111
4.	25/1107
5.	12/35
6.	110
7.	2632
8.	34/1081
9.	130
10.	84
11.	117
12.	1848
13.	19/697
14.	56/2225
15.	10
16.	2736
17.	131
18.	5/236
19.	39
20.	83
21.	8000
22.	34
23.	48
24.	58
25.	2
26.	1350
27.	22
28.	19/1230
29.	18
30.	1260
31.	36
32.	73/20
33.	7/9
34.	3196
35.	19
36.	38
37.	2
38.	6
39.	4
40.	1125
41.	70
42.	89/930
43.	4730
44.	44/3
45.	9
46.	1/5
47.	19/1316
48.	69
49.	470
50.	805
51.	714
52.	5
53.	273
54.	15/1577
55.	1/854
56.	4182
57.	1/45
58.	4
59.	855
60.	4624
61.	43/476
62.	2565
63.	120
64.	108
65.	5/27
66.	105
67.	41
68.	22
69.	35/71
70.	22/315
71.	5460
72.	1/10
73.	11/3021
74.	5/1106
75.	2/15
76.	26
77.	37/28
78.	1739
79.	19
80.	918
81.	89/3720
82.	3888
83.	6
84.	5
85.	120
86.	29
87.	13/7
88.	1/712
89.	4/75
90.	8100
91.	23/160
92.	101
93.	73/35
94.	164
95.	1548
96.	12/7
97.	1760
98.	44/589
99.	14
100.	322
